,id,lat,lon,popular as
0,521,40.75044999,-73.994810509999994,both start & end
1,519,40.751872999999996,-73.977706000000012,both start & end
2,293,40.730286659999997,-73.9907647,both start & end
3,435,40.741739690000003,-73.994155559999996,both start & end
4,497,40.737049839999997,-73.990092959999998,both start & end
5,426,40.71754834,-74.013220689999997,both start & end
6,285,40.734545670000003,-73.990741420000006,both start & end
7,151,40.721815800000002,-73.997203069999998,both start & end
8,284,40.739016909999997,-74.002637609999994,both start & end
9,402,40.740343200000005,-73.989551090000006,both start & end
10,327,40.715337899999994,-74.016583539999999,both start & end
11,368,40.730385990000002,-74.002149880000005,both start & end
12,477,40.756405479999998,-73.990026200000003,both start & end
13,490,40.751550999999999,-73.993933999999996,both start & end
14,499,40.769155050000002,-73.981918410000006,both start & end
15,529,40.757569899999993,-73.990985069999994,start
16,444,40.742354299999995,-73.989150760000001,both start & end
17,459,40.746745000000004,-74.007756000000001,both start & end
18,250,40.724560889999999,-73.995652930000006,both start & end
19,358,40.73291553,-74.007113840000002,both start & end
20,382,40.734926950000002,-73.992005090000006,end
